"Symbol: ^XAGBRL",,,,,,"Study: VOL",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2018-04-12,56.27,56.32,55.75,56.23,0,1774,
2018-04-13,56.17,57.11,56.17,57.04,0.8100000000000023,1689,
2018-04-16,57.08,57.52,56.74,56.94,-0.10000000000000142,1855,
2018-04-17,56.98,57.22,56.75,57.18,0.240000000000002,1712,
2018-04-18,57.15,58.41,57.07,58.17,0.990000000000002,1856,
2018-04-19,58.13,58.95,57.95,58.44,0.269999999999996,1889,
2018-04-20,58.38,58.72,57.78,58.46,0.020000000000003126,1857,
2018-04-23,58.47,58.47,57.13,57.36,-1.1000000000000014,1848,
2018-04-24,57.39,58.16,57.29,58.12,0.759999999999998,1747,
2018-04-25,58.1,58.13,57.52,57.72,-0.3999999999999986,1875,
2018-04-26,57.7,57.98,57.44,57.45,-0.269999999999996,1786,
2018-04-27,57.42,57.51,57.05,57.18,-0.2700000000000031,1747,
2018-04-30,57.09,57.3,56.32,57.28,0.10000000000000142,1851,
2018-05-01,57.26,57.3,56.41,56.72,-0.5600000000000023,1799,
2018-05-02,56.69,58.37,56.69,58.17,1.4500000000000028,1770,
2018-05-03,58.19,58.83,57.89,57.95,-0.21999999999999886,1792,
2018-05-04,57.98,58.29,57.83,58.28,0.3299999999999983,1669,
2018-05-07,58.28,58.61,57.97,58.48,0.19999999999999574,1750,
2018-05-08,58.53,58.92,58.32,58.8,0.3200000000000003,1837,
2018-05-09,58.73,59.65,58.31,59.26,0.46000000000000085,1800,
2018-05-10,59.33,59.79,59.2,59.36,0.10000000000000142,1751,
2018-05-11,59.36,60.22,59.24,60.04,0.6799999999999997,1864,
2018-05-14,60.05,60.54,59.52,59.83,-0.21000000000000085,1936,
2018-05-15,59.87,59.95,59.4,59.52,-0.30999999999999517,1823,
2018-05-16,59.45,60.55,59.27,60.18,0.6599999999999966,1769,
2018-05-17,60.15,61.1,60.07,60.75,0.5700000000000003,1842,
2018-05-18,60.73,61.71,60.57,61.46,0.7100000000000009,1873,
2018-05-21,61.47,61.54,60.7,60.71,-0.75,1902,
2018-05-22,60.68,61.12,60.14,60.33,-0.38000000000000256,1939,
2018-05-23,60.29,60.65,59.51,59.73,-0.6000000000000014,1868,
2018-05-24,59.7,60.92,59.56,60.79,1.0600000000000023,1804,
2018-05-25,60.72,60.98,60.34,60.35,-0.4399999999999977,1904,
2018-05-28,60.32,61.34,59.74,61.34,0.990000000000002,1478,
2018-05-29,61.49,61.7,60.9,61.16,-0.18000000000000682,1776,
2018-05-30,60.96,61.88,60.62,61.5,0.3400000000000034,1909,
2018-05-31,61.46,61.78,61.14,61.15,-0.3500000000000014,1703,
2018-06-01,61.21,61.93,61.05,61.71,0.5600000000000023,1744,
2018-06-04,61.77,62.04,61.23,61.45,-0.259999999999998,1863,
2018-06-05,61.52,62.88,61.36,62.85,1.3999999999999986,1930,
2018-06-06,62.77,64.19,62.77,64.19,1.3399999999999963,1726,
2018-06-07,64.13,66.42,64.05,65.31,1.1200000000000045,1866,
2018-06-08,65.24,65.36,62.09,62.18,-3.1300000000000026,1910,
2018-06-11,62.28,63.06,62.11,62.78,0.6000000000000014,1864,
2018-06-12,62.81,62.97,62.06,62.71,-0.07000000000000028,1887,
2018-06-13,62.66,63.44,62.5,63.37,0.6599999999999966,1648,
2018-06-14,63.4,65.54,63.05,65.41,2.039999999999999,1976,
2018-06-15,65.3,65.57,61.53,61.78,-3.6299999999999955,1980,
2018-06-18,61.68,62.13,61.54,61.73,-0.05000000000000426,1908,
2018-06-19,61.7,62,60.9,61.05,-0.6799999999999997,1910,
2018-06-20,61.05,61.66,60.46,61.43,0.38000000000000256,1830,
2018-06-21,61.41,61.96,61.12,61.45,0.020000000000003126,1685,
2018-06-22,61.5,62.34,61.43,62.23,0.779999999999994,1775,
2018-06-25,62.26,62.45,61.52,61.6,-0.6299999999999955,1870,
2018-06-26,61.62,61.9,60.98,61.9,0.29999999999999716,1747,
2018-06-27,61.88,62.49,61.44,61.98,0.0799999999999983,1817,
2018-06-28,61.96,62.28,61.36,61.79,-0.18999999999999773,1730,
2018-06-29,61.83,62.5,61.43,62.43,0.6400000000000006,1843,
2018-07-02,62.4,62.51,61.79,62.02,-0.4099999999999966,1975,
2018-07-03,61.97,62.51,61.81,62.41,0.38999999999999346,1847,
2018-07-04,62.42,62.93,62.33,62.86,0.45000000000000284,1654,
