"Symbol: ^XAGJPY",,,,,,"Study: VOL",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2018-04-12,1777.54,1781.26,1762.21,1764.62,0,7067,
2018-04-13,1763.69,1789.97,1763.69,1785.45,20.830000000000155,6984,
2018-04-16,1787.42,1795.27,1773.18,1782.57,-2.880000000000109,7057,
2018-04-17,1782.69,1795.06,1773.45,1792.61,10.039999999999964,7080,
2018-04-18,1792.13,1846.6,1791.25,1841.34,48.73000000000002,6940,
2018-04-19,1839.8,1859.31,1838.54,1849.37,8.029999999999973,6993,
2018-04-20,1848.55,1850.39,1833.6,1840.02,-9.349999999999909,6962,
2018-04-23,1842.33,1842.33,1801.92,1803.52,-36.5,7003,
2018-04-24,1803.65,1825.08,1803.65,1818.23,14.710000000000036,6940,
2018-04-25,1816.38,1819.08,1801.38,1808.99,-9.240000000000009,6968,
2018-04-26,1808.28,1812.7,1794.85,1802.77,-6.220000000000027,6869,
2018-04-27,1802.83,1806.79,1790.86,1798.78,-3.990000000000009,6948,
2018-04-30,1796.47,1801.18,1769.88,1782.14,-16.639999999999873,6792,
2018-05-01,1781.71,1787.23,1761.19,1773.34,-8.800000000000182,6831,
2018-05-02,1772.21,1808.65,1772.18,1796.49,23.15000000000009,6683,
2018-05-03,1796.4,1807.42,1787.03,1791.4,-5.089999999999918,6651,
2018-05-04,1791.76,1799.22,1782.86,1799.19,7.789999999999964,6793,
2018-05-07,1799.35,1802.37,1791.96,1795.09,-4.100000000000136,7016,
2018-05-08,1794.29,1797.2,1780.78,1795.5,0.41000000000008185,6812,
2018-05-09,1794.18,1819.66,1792.9,1806.55,11.049999999999955,6924,
2018-05-10,1807.77,1828.79,1805.69,1825.27,18.720000000000027,6987,
2018-05-11,1825.79,1835.46,1818.58,1819.43,-5.839999999999918,7038,
2018-05-14,1818.58,1828.14,1806.97,1807.49,-11.940000000000055,7048,
2018-05-15,1809.55,1813.32,1785.87,1792.34,-15.150000000000091,6957,
2018-05-16,1791.45,1805.81,1780.81,1805.44,13.100000000000136,6955,
2018-05-17,1801.88,1824.07,1801.67,1816.86,11.419999999999845,7032,
2018-05-18,1815.85,1821.32,1813.49,1818.58,1.7200000000000273,6998,
2018-05-21,1818.05,1832.79,1809.38,1830.55,11.970000000000027,7030,
2018-05-22,1830,1844.27,1823.01,1831.62,1.0699999999999363,7042,
2018-05-23,1829.41,1833.02,1795.17,1808.29,-23.329999999999927,6880,
