"Symbol: ^XAGCNY",,,,,,"Study: VOL",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2018-04-12,104.51,105,103.57,103.62,0,2395,
2018-04-13,103.59,104.97,103.56,104.58,0.9599999999999937,2211,
2018-04-16,104.52,105.27,104.04,104.64,0.060000000000002274,2302,
2018-04-17,104.66,105.77,104.23,105.45,0.8100000000000023,2321,
2018-04-18,105.43,108.27,105.21,108.01,2.5600000000000023,2350,
2018-04-19,107.88,108.9,107.6,108.32,0.30999999999998806,2369,
2018-04-20,108.28,108.43,107.35,107.83,-0.4899999999999949,2361,
2018-04-23,107.9,107.9,104.83,104.99,-2.8400000000000034,2389,
2018-04-24,104.98,106.29,104.58,105.57,0.5799999999999983,2330,
2018-04-25,105.46,105.58,104.49,104.78,-0.789999999999992,2180,
2018-04-26,104.76,105.04,104.22,104.68,-0.09999999999999432,2264,
2018-04-27,104.69,104.94,104.19,104.65,-0.030000000000001137,2303,
2018-04-30,104.53,104.77,102.65,103.42,-1.230000000000004,2342,
2018-05-01,103.43,103.68,102.04,102.57,-0.8500000000000085,2165,
2018-05-02,102.55,105.23,102.55,104.17,1.6000000000000085,2253,
2018-05-03,104.23,105.24,104.15,104.46,0.28999999999999204,2229,
2018-05-04,104.46,105.14,104.14,105.14,0.6800000000000068,2153,
2018-05-07,105.03,105.18,104.46,104.93,-0.20999999999999375,2172,
2018-05-08,104.95,105.18,104.03,104.97,0.03999999999999204,2255,
2018-05-09,104.97,105.73,104.33,104.91,-0.060000000000002274,2338,
2018-05-10,105.03,106.35,104.85,106.11,1.2000000000000028,2302,
2018-05-11,106.17,106.56,105.53,105.57,-0.5400000000000063,2214,
2018-05-14,105.79,106.08,104.66,104.69,-0.8799999999999955,2225,
2018-05-15,104.77,105.2,103.4,103.75,-0.9399999999999977,2331,
2018-05-16,103.76,104.66,103.27,104.37,0.6200000000000045,2190,
2018-05-17,104.25,105.05,103.93,104.6,0.22999999999998977,2207,
2018-05-18,104.6,106.15,104.42,104.92,0.3200000000000074,2229,
2018-05-21,104.93,105.65,103.96,105.4,0.480000000000004,2270,
2018-05-22,105.41,106.05,104.93,105.35,-0.05000000000001137,2246,
2018-05-23,105.22,105.72,104.44,105.12,-0.22999999999998977,2293,
2018-05-24,105.14,106.5,104.98,106.35,1.2299999999999898,2278,
2018-05-25,106.26,106.77,105.4,105.45,-0.8999999999999915,2211,
2018-05-28,105.13,105.54,104.53,105.43,-0.01999999999999602,1796,
2018-05-29,105.34,105.79,104.89,105.2,-0.23000000000000398,2258,
2018-05-30,104.95,106.18,104.95,105.96,0.7599999999999909,2275,
2018-05-31,105.97,106.23,105.21,105.24,-0.7199999999999989,2243,
2018-06-01,105.39,105.89,105.05,105.29,0.05000000000001137,2168,
2018-06-04,105.58,105.94,105.1,105.22,-0.07000000000000739,2211,
2018-06-05,105.29,106.03,104.85,105.64,0.4200000000000017,2106,
2018-06-06,105.62,106.91,105.43,106.5,0.8599999999999994,2243,
