Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,14163.900391,14400.299805,14112.799805,14347.200195,14347.200195,270319800
2019-01-03,14294.099609,14297.900391,14155.299805,14212.799805,14212.799805,211587200
2019-01-04,14351.599609,14438.599609,14314.799805,14426.599609,14426.599609,231237200
2019-01-07,14471.000000,14515.099609,14383.099609,14504.099609,14504.099609,257832000
2019-01-08,14610.500000,14645.599609,14533.900391,14605.200195,14605.200195,260100900
2019-01-09,14668.500000,14811.099609,14644.099609,14804.700195,14804.700195,269093100
2019-01-10,14770.700195,14921.099609,14702.299805,14903.500000,14903.500000,262984000
2019-01-11,14874.200195,14956.200195,14855.200195,14939.200195,14939.200195,249299500
2019-01-14,14881.000000,14997.900391,14881.000000,14975.500000,14975.500000,228994500
2019-01-15,15002.000000,15079.799805,14966.500000,15046.299805,15046.299805,241300600
2019-01-16,15072.299805,15118.299805,15057.000000,15111.299805,15111.299805,248816800
2019-01-17,15077.099609,15238.099609,15066.500000,15211.200195,15211.200195,257298500
2019-01-18,15295.000000,15325.599609,15258.900391,15303.799805,15303.799805,293702200
2019-01-21,15300.400391,15354.200195,15263.000000,15354.200195,15354.200195,92562500
2019-01-22,15276.299805,15285.200195,15160.500000,15233.799805,15233.799805,228363300
2019-01-23,15275.700195,15293.299805,15141.500000,15208.299805,15208.299805,210174500
2019-01-24,15201.500000,15281.299805,15194.299805,15280.799805,15280.799805,206075300
2019-01-25,15350.200195,15388.000000,15298.400391,15366.099609,15366.099609,216014400
2019-01-28,15289.099609,15378.599609,15276.900391,15378.599609,15378.599609,226010300
2019-01-29,15414.700195,15497.400391,15413.900391,15463.099609,15463.099609,233364800
2019-01-30,15493.400391,15520.900391,15418.599609,15484.599609,15484.599609,233825500
2019-01-31,15507.400391,15564.599609,15486.500000,15540.599609,15540.599609,286422200
2019-02-01,15562.299805,15569.000000,15483.400391,15506.299805,15506.299805,224777300
2019-02-04,15527.400391,15606.299805,15513.700195,15602.299805,15602.299805,245284400
2019-02-05,15631.799805,15702.700195,15627.799805,15702.700195,15702.700195,217732500
2019-02-06,15679.900391,15745.400391,15668.599609,15712.299805,15712.299805,218136700
2019-02-07,15697.599609,15726.500000,15588.700195,15703.400391,15703.400391,253785300
2019-02-08,15648.299805,15659.799805,15567.799805,15633.299805,15633.299805,211877800
2019-02-11,15660.500000,15660.500000,15545.900391,15568.900391,15568.900391,193012400
2019-02-12,15613.099609,15654.799805,15583.400391,15642.099609,15642.099609,248558800
2019-02-13,15679.200195,15689.700195,15623.700195,15626.700195,15626.700195,236823500
2019-02-14,15622.299805,15733.099609,15608.200195,15696.000000,15696.000000,305833800
