Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,2497.881104,2500.278076,2456.423096,2465.291016,2465.291016,109900
2019-01-03,2461.782959,2488.479004,2455.926025,2464.363037,2464.363037,124400
2019-01-04,2446.019043,2515.315918,2440.906982,2514.867920,2514.867920,168900
2019-01-07,2528.698975,2536.978027,2515.508057,2533.089111,2533.089111,177300
2019-01-08,2530.300049,2531.344971,2520.165039,2526.461914,2526.461914,158100
2019-01-09,2536.416992,2574.407959,2536.156982,2544.344971,2544.344971,191900
2019-01-10,2543.853027,2551.825928,2531.664063,2535.099121,2535.099121,159900
2019-01-11,2539.549072,2554.787109,2533.358887,2553.831055,2553.831055,149400
2019-01-14,2553.327881,2556.293945,2533.010010,2535.764893,2535.764893,144800
2019-01-15,2537.370117,2571.501953,2532.433105,2570.344971,2570.344971,160300
2019-01-16,2569.070068,2574.236084,2563.006104,2570.422119,2570.422119,149300
2019-01-17,2573.575928,2582.555908,2557.710938,2559.636963,2559.636963,162500
2019-01-18,2567.739014,2598.884033,2565.904053,2596.006104,2596.006104,190800
2019-01-21,2599.058105,2618.979980,2599.058105,2610.509033,2610.509033,163400
2019-01-22,2609.642090,2609.642090,2573.062012,2579.704102,2579.704102,152500
2019-01-23,2575.258057,2589.512939,2572.405029,2581.003906,2581.003906,131400
2019-01-24,2584.647949,2597.289063,2569.699951,2591.694092,2591.694092,154000
2019-01-25,2596.261963,2617.001953,2595.628906,2601.722900,2601.722900,159400
2019-01-28,2615.711914,2630.318115,2591.100098,2596.977051,2596.977051,147000
2019-01-29,2592.354980,2601.736084,2559.981934,2594.253906,2594.253906,155600
2019-01-30,2584.746094,2598.814941,2575.408936,2575.575928,2575.575928,120500
2019-01-31,2581.332031,2606.627930,2571.579102,2584.572021,2584.572021,154300
2019-02-01,2597.778076,2618.477051,2590.553955,2618.231934,2618.231934,132000
2019-02-11,2613.174072,2654.095947,2613.174072,2653.895996,2653.895996,154900
2019-02-12,2654.034912,2674.478027,2648.830078,2671.894043,2671.894043,184100
2019-02-13,2674.520020,2727.074951,2666.521973,2721.068115,2721.068115,243800
2019-02-14,2715.535889,2729.455078,2707.487061,2719.699951,2719.699951,197000
2019-02-15,2712.785889,2715.632080,2679.784912,2682.385010,2682.385010,196000
2019-02-18,2699.816895,2754.356934,2699.816895,2754.356934,2754.356934,260400
2019-02-19,2759.496094,2780.783936,2737.585938,2755.645996,2755.645996,288000
2019-02-20,2761.059082,2767.410889,2739.978027,2761.218994,2761.218994,246000
2019-02-21,2759.937988,2794.012939,2744.976074,2751.801025,2751.801025,298600
2019-02-22,2749.461914,2804.226074,2736.332031,2804.226074,2804.226074,301500
2019-02-25,2838.389893,2961.794922,2838.389893,2961.282959,2961.282959,528700
2019-02-26,2969.097900,2995.676025,2938.623047,2941.516113,2941.516113,565600
2019-02-27,2939.928955,2997.488037,2924.643066,2953.823975,2953.823975,475000
2019-02-28,2950.054932,2965.303955,2930.195068,2940.954102,2940.954102,350200
2019-03-01,2954.402100,2994.004883,2930.834961,2994.004883,2994.004883,345800
2019-03-04,3015.943115,3090.795898,3006.941895,3027.575928,3027.575928,525600
2019-03-05,3019.879883,3054.961914,3009.447998,3054.247070,3054.247070,424100
2019-03-06,3060.433105,3103.824951,3050.111084,3102.099121,3102.099121,555000
2019-03-07,3103.667969,3129.939941,3074.978027,3106.417969,3106.417969,583800
2019-03-08,3038.335938,3075.045898,2969.582031,2969.861084,2969.861084,577900
2019-03-11,2969.080078,3028.253906,2963.583008,3026.992920,3026.992920,426200
2019-03-12,3049.083984,3093.391113,3029.899902,3060.306885,3060.306885,511200
2019-03-13,3062.326904,3065.288086,3013.931885,3026.950928,3026.950928,453200
2019-03-14,3013.596924,3041.156006,2968.823975,2990.685059,2990.685059,373100
2019-03-15,3000.878906,3048.121094,2999.431885,3021.750977,3021.750977,341200
2019-03-18,3027.801025,3096.417969,3009.507080,3096.417969,3096.417969,397800
2019-03-19,3099.896973,3113.433105,3076.363037,3090.975098,3090.975098,350900
2019-03-20,3084.169922,3102.520020,3053.451904,3090.639893,3090.639893,358600
2019-03-21,3094.125000,3125.019043,3086.850098,3101.455078,3101.455078,414300
